iter	Passed	Remaining
0	12	25769
1	24	24599
2	33	22543
3	44	22421
4	59	23772
5	73	24430
6	87	24878
7	98	24538
8	112	24901
9	124	24684
10	140	25400
11	154	25529
12	166	25382
13	181	25709
14	196	26024
15	211	26180
16	227	26530
17	242	26662
18	263	27434
19	277	27475
20	294	27756
21	309	27785
22	321	27661
23	333	27452
24	345	27299
25	355	27022
26	369	26971
27	380	26791
28	392	26691
29	403	26524
30	419	26662
31	432	26593
32	447	26655
33	460	26656
34	471	26486
35	486	26532
36	503	26733
37	516	26648
38	535	26912
39	552	27078
40	572	27374
41	590	27516
42	604	27527
43	619	27537
44	633	27510
45	643	27347
46	657	27312
47	670	27275
48	683	27208
49	696	27148
50	708	27075
51	720	26975
52	730	26822
53	744	26819
54	755	26729
55	768	26675
56	779	26580
57	791	26495
58	801	26376
59	814	26330
60	826	26269
61	837	26166
62	850	26144
63	859	25998
64	872	25963
65	883	25887
66	895	25824
67	905	25713
68	917	25684
69	927	25574
70	938	25499
71	948	25406
72	962	25415
73	977	25449
74	989	25387
75	999	25311
76	1009	25204
77	1019	25131
78	1031	25093
79	1043	25053
80	1053	24955
81	1064	24906
82	1074	24813
83	1085	24757
84	1095	24686
85	1105	24614
86	1119	24623
87	1130	24555
88	1142	24531
89	1152	24451
90	1162	24381
91	1173	24343
92	1182	24253
93	1195	24250
94	1205	24178
95	1215	24116
96	1226	24065
97	1238	24032
98	1248	23973
99	1259	23926
100	1270	23888
101	1280	23834
102	1291	23778
103	1300	23709
104	1310	23655
105	1323	23642
106	1333	23583
107	1342	23514
108	1355	23522
109	1366	23478
110	1377	23443
111	1388	23400
112	1398	23350
113	1408	23303
114	1418	23257
115	1429	23210
116	1439	23168
117	1449	23117
118	1461	23099
119	1472	23067
120	1486	23077
121	1497	23046
122	1508	23015
123	1513	22903
124	1525	22877
125	1534	22818
126	1544	22785
127	1554	22734
128	1568	22742
129	1576	22679
130	1589	22675
131	1601	22667
132	1612	22639
133	1621	22585
134	1634	22578
135	1646	22566
136	1657	22543
137	1668	22515
138	1681	22513
139	1691	22477
140	1701	22435
141	1710	22383
142	1719	22334
143	1730	22302
144	1742	22289
145	1751	22242
146	1766	22267
147	1778	22261
148	1790	22237
149	1800	22209
150	1815	22230
151	1828	22231
152	1840	22222
153	1851	22193
154	1861	22161
155	1872	22128
156	1882	22103
157	1894	22091
158	1904	22056
159	1915	22025
160	1925	21989
161	1936	21976
162	1946	21932
163	1958	21920
164	1968	21887
165	1977	21852
166	1987	21820
167	1997	21782
168	2007	21754
169	2019	21734
170	2029	21709
171	2041	21692
172	2051	21663
173	2062	21640
174	2071	21606
175	2081	21569
176	2093	21561
177	2103	21528
178	2113	21496
179	2125	21491
180	2137	21477
181	2148	21462
182	2160	21449
183	2171	21431
184	2182	21409
185	2192	21386
186	2203	21359
187	2214	21339
188	2223	21305
189	2233	21280
190	2243	21248
191	2252	21212
192	2265	21214
193	2274	21172
194	2287	21176
195	2296	21141
196	2306	21110
197	2315	21076
198	2326	21059
199	2338	21045
200	2349	21025
201	2358	20990
202	2370	20980
203	2379	20946
204	2390	20928
205	2399	20900
206	2413	20905
207	2423	20877
208	2433	20856
209	2444	20836
210	2456	20829
211	2466	20804
212	2477	20783
213	2485	20747
214	2498	20744
215	2508	20717
216	2517	20685
217	2529	20675
218	2538	20646
219	2550	20638
220	2560	20615
221	2570	20583
222	2582	20581
223	2593	20564
224	2602	20534
225	2615	20527
226	2625	20509
227	2635	20484
228	2646	20463
229	2658	20462
230	2668	20432
231	2680	20429
232	2694	20436
233	2705	20421
234	2716	20403
235	2727	20390
236	2740	20385
237	2754	20389
238	2764	20367
239	2773	20337
240	2788	20353
241	2800	20340
242	2811	20329
243	2824	20325
244	2834	20301
245	2844	20282
246	2854	20258
247	2864	20233
248	2874	20214
249	2883	20184
250	2894	20169
251	2905	20155
252	2916	20140
253	2926	20118
254	2941	20126
255	2956	20140
256	2969	20138
257	2981	20131
258	2993	20120
259	3004	20108
260	3014	20085
261	3026	20073
262	3038	20070
263	3050	20059
264	3065	20068
265	3076	20058
266	3089	20050
267	3099	20033
268	3113	20032
269	3123	20011
270	3135	20006
271	3149	20010
272	3159	19989
273	3169	19967
274	3180	19947
275	3194	19953
276	3203	19927
277	3213	19908
278	3223	19883
279	3234	19871
280	3245	19852
281	3254	19825
282	3265	19811
283	3274	19787
284	3285	19770
285	3294	19742
286	3303	19720
287	3314	19701
288	3326	19696
289	3336	19676
290	3349	19669
291	3358	19647
292	3369	19630
293	3378	19605
294	3388	19585
295	3399	19567
296	3410	19554
297	3419	19529
298	3427	19500
299	3439	19488
300	3451	19482
301	3461	19460
302	3469	19433
303	3482	19425
304	3492	19406
305	3502	19392
306	3512	19369
307	3524	19359
308	3532	19334
309	3543	19317
310	3553	19299
311	3565	19288
312	3578	19286
313	3589	19275
314	3602	19268
315	3612	19252
316	3622	19232
317	3634	19222
318	3645	19210
319	3657	19200
320	3666	19179
321	3678	19170
322	3688	19149
323	3700	19140
324	3710	19120
325	3721	19110
326	3731	19091
